SamplesperPixel,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,RepetitionTime,EchoTime,EchoTrainLength,InversionTime,AngioFlag,NumberofAverages,ImagingFrequency,MagneticFieldstrength,SpacingBetweenSlices,PercentSampling,PercentPhaseFieldofView,PixelBandwidth,ReconstructionDiameter,PhaseEncodingDirection,FlipAngle,SAR,VariableFlipAngleFlag,SeriesDescription,SHStationName
1,IR,SK,NULL,2D,10002,124.908,1,2200,N,0.5,63.823755,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.6754,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,Ax DIFF Pedi,MR1WA
1,GR,SS,NULL,3D,6.768,2.5,1,0,N,4,63.823695,1.5,0.4,100,100,244.141,180,ROW,65,1.34916,N,Ax 3D FIESTA Hi Res,MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,35.8,1,0,N,2,63.823759,1.5,4.5,100,100,1304.69,200,COL,90,0.00245949,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,22,6,1,0,N,1,63.823745,1.5,1.2,100,100,114.922,200,ROW,20,0.0373926,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,DWI,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823752,1.5,8,100,100,976.562,300,ROW,70,1.01938,N,Calibration Scan,MR1WA
1,SE,SK,NULL,2D,6433.34,112.672,12,0,N,1,63.823745,1.5,4.5,100,75,27.1094,200,ROW,90,0.7571,N,AX T2,MR1WA
1,IR,SK,NULL,2D,10002,131.376,1,2200,N,0.5,63.823745,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.6583,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823756,1.5,4.5,100,100,1953.12,200,COL,90,0.255865,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,34.1,1,0,N,2,63.823749,1.5,4.5,100,100,1304.69,200,COL,90,0.00316776,N,SUSCEPTIBILITY EPI,MR1WA
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Screen Save,MR1WA
1,GR,NULL,NULL,3D,21,6,1,0,N,1,63.823756,1.5,1.2,100,100,114.922,220,ROW,20,0.0477986,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,DWI,MR1WA
1,GR,NULL,NULL,3D,21,6,1,NULL,N,1,63.823756,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0477986,N,COR SPGR NO GADO REFORMAT,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823737,1.5,8,100,100,976.562,300,ROW,70,1.24384,N,Calibration Scan,MR1WA
1,SE,SK,NULL,2D,4650,112.608,12,0,N,1,63.823756,1.5,4.5,100,75,27.1094,200,ROW,90,0.9232,N,AX T2,MR1WA
1,GR,NULL,NULL,3D,21,6,1,NULL,N,1,63.823756,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0477986,N,AX SPGR NO GADO REFORMAT,MR1WA
1,IR,SK,NULL,2D,10002,127.008,1,2200,N,0.5,63.823756,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.707,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,105.1,1,0,N,1,63.823749,1.5,4.5,100,100,1953.12,200,COL,90,0.320875,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,37.4,1,0,N,2,63.823727,1.5,4.5,100,100,1304.69,200,COL,90,0.00528838,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,21,6,1,0,N,1,63.823738,1.5,1.2,100,100,114.922,220,ROW,20,0.0473794,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,DWI,MR1WA
1,GR,NULL,NULL,3D,21,6,1,NULL,N,1,63.823738,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0473794,N,COR SPGR POST RFMT,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823696,1.5,8,100,100,976.562,300,ROW,70,1.19298,N,Calibration Scan,MR1WA
1,GR,NULL,NULL,3D,21,6,1,NULL,N,1,63.823738,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0473794,N,AXIAL SPGR POST RFMT,MR1WA
1,SE,SK,NULL,2D,5733.34,112.64,12,0,N,1,63.823738,1.5,4.5,100,75,27.1094,200,ROW,90,0.9134,N,AX T2,MR1WA
1,IR,SK,NULL,2D,10002,120.12,1,2200,N,0.5,63.823738,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.9641,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,114.7,1,0,N,1,63.823727,1.5,4.5,100,100,1953.12,200,COL,90,0.275079,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,34.9,1,0,N,2,63.823773,1.5,4.5,100,100,1304.69,220,COL,90,0.0024927,N,SUSCEPTIBILITY EPI,MR1WA
1,NULL,SS,NULL,2D,12000,34.9,1,0,N,2,63.823773,1.5,4.5,100,100,1304.69,200,COL,90,0.0024927,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,22,6,1,0,N,1,63.823773,1.5,1.2,100,100,114.922,220,ROW,20,0.0341078,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,DWI,MR1WA
1,GR,NULL,NULL,3D,22,6,1,NULL,N,1,63.823773,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0341078,N,COR REFORMATT SPGR-SAG,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823772,1.5,8,100,100,976.562,300,ROW,70,0.929833,N,Calibration Scan,MR1WA
1,GR,NULL,NULL,3D,22,6,1,NULL,N,1,63.823773,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0341078,N,AXIAL REFORMATT SPGR-SAG,MR1WA
1,SE,SK,NULL,2D,7150,112.608,12,0,N,1,63.823773,1.5,4.5,100,75,27.1094,200,ROW,90,0.6904,N,AX T2,MR1WA
1,IR,SK,NULL,2D,10002,127.008,1,2200,N,0.5,63.823773,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.5285,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,109.2,1,0,N,1,63.823776,1.5,4.5,100,100,1953.12,220,COL,90,0.233388,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,28.7,1,0,N,2,63.823723,1.5,4,100,100,1304.69,220,COL,90,0.00340165,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,30,4,1,0,N,1,63.823715,1.5,1.5,100,75,122.109,240,ROW,35,0.104532,N,SAG SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,DWI,MR1WA
1,GR,NULL,NULL,3D,30,4,1,NULL,N,1,63.823715,1.5,NULL,100,75,61.05450168,NULL,ROW,35,0.104532,N,COR SPGR REFORMAT,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.372,1,0,N,1,63.823709,1.5,8,100,100,976.562,300,ROW,70,1.25814,N,Calibration Scan,MR1WA
1,GR,NULL,NULL,3D,30,4,1,NULL,N,1,63.823715,1.5,NULL,100,75,61.05450168,NULL,ROW,35,0.104532,N,AXIAL SPGR REFORMAT,MR1WA
1,SE,SK,NULL,2D,10350,98.064,12,0,N,1,63.823715,1.5,3,100,100,27.1094,200,ROW,90,0.8135,N,AX T2,MR1WA
1,IR,SK,NULL,2D,10002,129.536,1,2200,N,0.5,63.823715,1.5,4.5,64.5833,100,162.734,200,ROW,90,1.081,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,106.2,1,0,N,1,63.823726,1.5,4.5,100,100,1953.12,200,COL,90,0.283103,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,34.3,1,0,N,2,63.823798,1.5,4.5,100,100,1304.69,200,COL,90,0.00279275,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,22,6,1,0,N,1,63.823767,1.5,1.2,100,100,114.922,210,ROW,20,0.044957,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,DWI,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823778,1.5,8,100,100,976.562,300,ROW,70,1.2256,N,Calibration Scan,MR1WA
1,SE,SK,NULL,2D,6066.67,112.48,12,0,N,1,63.823767,1.5,4.5,100,75,27.1094,200,ROW,90,0.9116,N,AX T2,MR1WA
1,IR,SK,NULL,2D,10002,130.364,1,2200,N,0.5,63.823767,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.7914,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,109.4,1,0,N,1,63.823798,1.5,4.5,100,100,1953.12,200,COL,90,0.290535,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,98.7,1,0,N,1,63.823751,1.5,4.5,100,100,1953.12,220,COL,90,0.189226,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,36.8,1,0,N,2,63.823748,1.5,4.5,100,100,1304.69,200,COL,90,0.00388038,N,SUSCEPTIBILITY EPI,MR1WA
1,SE,SK,NULL,2D,650,12.736,2,0,N,1,63.823744,1.5,4.5,100,90,122.109,220,ROW,90,1.212,N,SAG T1,MR1WA
